Idalumno,CodAsig,Asignatura,Carrera,Semestre,Convocatoria,Anho,Ciclo,Aprobado,AnhoFirma,1P,2P,Taller,Asistencia,SumProceso,Requisito,1R,2R,NF,1F,2F,3F,Abandono,Materias cursadas,Veces recursada
29,13015,ESTATICA,ELE-PLS13 ,3,2,2022,2,0,0,9,8,5,1,22,1,0,0,0,0,0,0,1,4,0
40,13015,ESTATICA,MCT-PLS13 ,3,1,2016,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0
56,13015,ESTATICA,ELE-PLS13 ,3,1,2019,1,1,2018,0,0,0,1,0,1,0,0,2,2,0,0,1,7,0
77,13015,ESTATICA,ELE-PLS13 ,3,1,2022,1,0,0,17,17,1,1,35,0,0,0,0,0,0,0,1,4,0
77,13015,ESTATICA,ELE-PLS13 ,3,2,2022,2,1,2022,21,22,7,1,50,1,0,0,5,5,0,0,0,4,1
170,13015,ESTATICA,MCT-PLS13 ,3,2,2019,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0
207,13015,ESTATICA,CIV-PLS13 ,3,1,2016,2,0,0,5,0,6,0,11,0,0,0,0,0,0,0,1,5,0
207,13015,ESTATICA,CIV-PLS13 ,3,1,2017,2,0,0,7,0,2,0,9,0,0,0,0,0,0,0,1,3,1
208,13015,ESTATICA,CIV-PLS13 ,3,1,2016,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0
237,13015,ESTATICA,ELE-PLS13 ,3,2,2021,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0
248,13015,ESTATICA,MCT-PLS13 ,3,1,2016,2,0,0,12,14,4,1,30,1,0,0,0,0,0,0,0,4,0
248,13015,ESTATICA,MCT-PLS13 ,3,1,2017,2,1,2017,18,15,6,1,39,1,0,0,2,2,0,0,0,6,1
249,13015,ESTATICA,CIV-PLS13 ,3,1,2016,2,0,2015,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0
254,13015,ESTATICA,MCT-PLS13 ,3,2,2019,2,0,0,6,0,0,1,6,0,0,0,0,0,0,0,1,6,0
254,13015,ESTATICA,CIV-PLS13 ,3,2,2021,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,8,1
259,13015,ESTATICA,ELE-PLS13 ,3,2,2021,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0
259,13015,ESTATICA,ELE-PLS13 ,3,1,2022,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,1
279,13015,ESTATICA,CIV-PLS13 ,3,1,2017,2,0,0,13,0,2,0,15,0,0,0,0,0,0,0,1,2,0
279,13015,ESTATICA,IND-PLS13 ,3,1,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1
289,13015,ESTATICA,ELE-PLS13 ,3,1,2016,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0
289,13015,ESTATICA,ELE-PLS13 ,3,2,2018,2,0,0,8,8,5,1,21,1,16,27,0,0,0,0,1,5,1
289,13015,ESTATICA,ELE-PLS13 ,3,1,2019,1,0,2019,18,16,4,1,38,1,0,0,0,0,0,0,0,5,2
289,13015,ESTATICA,ELE-PLS13 ,3,2,2019,2,0,2019,12,0,0,1,12,1,0,0,0,0,0,0,1,6,3
289,13015,ESTATICA,ELE-PLS13 ,3,1,2021,1,0,0,11,0,4,1,15,1,20,0,0,0,0,0,1,8,4
289,13015,ESTATICA,ELE-PLS13 ,3,2,2021,2,0,0,0,0,2,1,2,0,0,0,0,0,0,0,1,5,5
302,13015,ESTATICA,CIV-PLS13 ,3,1,2021,1,1,2021,18,30,4,1,52,1,0,0,5,5,0,0,0,5,0
325,13015,ESTATICA,MEC-PLS13 ,3,1,2016,2,1,2016,18,31,7,1,56,1,0,0,3,3,0,0,0,5,0
338,13015,ESTATICA,MEC-PLS13 ,3,2,2021,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0
372,13015,ESTATICA,ELE-PLS13 ,3,2,2019,2,1,2019,16,30,9,1,55,1,0,0,5,5,0,0,0,6,0
374,13015,ESTATICA,CIV-PLS13 ,3,1,2016,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0
374,13015,ESTATICA,CIV-PLS13 ,3,1,2017,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,7,1
375,13015,ESTATICA,MCT-PLS13 ,3,1,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0
375,13015,ESTATICA,MCT-PLS13 ,3,2,2019,2,0,0,15,0,3,0,18,0,0,0,0,0,0,0,1,3,1
378,13015,ESTATICA,MCT-PLS13 ,3,1,2016,2,1,2016,14,24,5,1,43,1,0,0,3,1,1,3,0,4,0
381,13015,ESTATICA,IND-PLS13 ,3,1,2016,2,0,0,5,2,2,0,9,0,0,0,0,0,0,0,1,4,0
381,13015,ESTATICA,IND-PLS13 ,3,1,2017,2,0,0,4,8,2,0,14,0,0,0,0,0,0,0,1,4,1
381,13015,ESTATICA,IND-PLS13 ,3,1,2018,1,0,0,2,0,1,0,3,0,0,0,0,0,0,0,1,4,2
381,13015,ESTATICA,IND-PLS13 ,3,1,2019,1,0,0,11,16,2,1,29,1,25,0,0,0,0,0,1,4,3
381,13015,ESTATICA,IND-PLS13 ,3,2,2019,2,1,2019,16,25,5,1,46,1,0,0,2,1,2,0,0,5,4
386,13015,ESTATICA,CIV-PLS13 ,3,1,2016,2,1,2016,17,10,6,1,33,1,0,0,2,0,0,2,0,3,0
403,13015,ESTATICA,ELE-PLS13 ,3,2,2021,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,0
418,13015,ESTATICA,IND-PLS13 ,3,2,2018,2,1,2018,17,19,8,1,44,1,0,0,4,4,0,0,0,7,0
429,13015,ESTATICA,IND-PLS13 ,3,1,2016,2,1,2016,8,23,8,1,39,1,0,0,2,2,0,0,0,4,0
