Idalumno,CodAsig,Asignatura,Carrera,Semestre,Convocatoria,Anho,Ciclo,Aprobado,AnhoFirma,1P,2P,Taller,Asistencia,Requisito,1R,2R,NF,1F,2F,3F,Materias cursadas
29,13015,ESTATICA,ELE-PLS13 ,3,2,2022,2,0,0,9,8,5,1,1,0,0,0,0,0,0,4
40,13015,ESTATICA,MCT-PLS13 ,3,1,2016,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6
56,13015,ESTATICA,ELE-PLS13 ,3,1,2019,1,1,2018,0,0,0,1,1,0,0,2,2,0,0,7
77,13015,ESTATICA,ELE-PLS13 ,3,1,2022,1,0,0,17,17,1,1,0,0,0,0,0,0,0,4
77,13015,ESTATICA,ELE-PLS13 ,3,2,2022,2,1,2022,21,22,7,1,1,0,0,5,5,0,0,4
170,13015,ESTATICA,MCT-PLS13 ,3,2,2019,2,0,0,0,0,0,1,0,0,0,0,0,0,0,4
207,13015,ESTATICA,CIV-PLS13 ,3,1,2016,2,0,0,5,0,6,0,0,0,0,0,0,0,0,5
207,13015,ESTATICA,CIV-PLS13 ,3,1,2017,2,0,0,7,0,2,0,0,0,0,0,0,0,0,3
208,13015,ESTATICA,CIV-PLS13 ,3,1,2016,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5
237,13015,ESTATICA,ELE-PLS13 ,3,2,2021,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3
248,13015,ESTATICA,MCT-PLS13 ,3,1,2016,2,0,0,12,14,4,1,1,0,0,0,0,0,0,4
248,13015,ESTATICA,MCT-PLS13 ,3,1,2017,2,1,2017,18,15,6,1,1,0,0,2,2,0,0,6
249,13015,ESTATICA,CIV-PLS13 ,3,1,2016,2,0,2015,0,0,0,1,1,0,0,0,0,0,0,1
254,13015,ESTATICA,MCT-PLS13 ,3,2,2019,2,0,0,6,0,0,1,0,0,0,0,0,0,0,6
254,13015,ESTATICA,CIV-PLS13 ,3,2,2021,2,0,0,0,0,0,1,0,0,0,0,0,0,0,8
259,13015,ESTATICA,ELE-PLS13 ,3,2,2021,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3
259,13015,ESTATICA,ELE-PLS13 ,3,1,2022,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3
279,13015,ESTATICA,CIV-PLS13 ,3,1,2017,2,0,0,13,0,2,0,0,0,0,0,0,0,0,2
279,13015,ESTATICA,IND-PLS13 ,3,1,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
289,13015,ESTATICA,ELE-PLS13 ,3,1,2016,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6
289,13015,ESTATICA,ELE-PLS13 ,3,2,2018,2,0,0,8,8,5,1,1,16,27,0,0,0,0,5
289,13015,ESTATICA,ELE-PLS13 ,3,1,2019,1,0,2019,18,16,4,1,1,0,0,0,0,0,0,5
289,13015,ESTATICA,ELE-PLS13 ,3,2,2019,2,0,2019,12,0,0,1,1,0,0,0,0,0,0,6
289,13015,ESTATICA,ELE-PLS13 ,3,1,2021,1,0,0,11,0,4,1,1,20,0,0,0,0,0,8
289,13015,ESTATICA,ELE-PLS13 ,3,2,2021,2,0,0,0,0,2,1,0,0,0,0,0,0,0,5
302,13015,ESTATICA,CIV-PLS13 ,3,1,2021,1,1,2021,18,30,4,1,1,0,0,5,5,0,0,5
325,13015,ESTATICA,MEC-PLS13 ,3,1,2016,2,1,2016,18,31,7,1,1,0,0,3,3,0,0,5
338,13015,ESTATICA,MEC-PLS13 ,3,2,2021,2,0,0,0,0,0,1,0,0,0,0,0,0,0,5
372,13015,ESTATICA,ELE-PLS13 ,3,2,2019,2,1,2019,16,30,9,1,1,0,0,5,5,0,0,6
374,13015,ESTATICA,CIV-PLS13 ,3,1,2016,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5
374,13015,ESTATICA,CIV-PLS13 ,3,1,2017,2,0,0,0,0,1,0,0,0,0,0,0,0,0,7
375,13015,ESTATICA,MCT-PLS13 ,3,1,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6
375,13015,ESTATICA,MCT-PLS13 ,3,2,2019,2,0,0,15,0,3,0,0,0,0,0,0,0,0,3
378,13015,ESTATICA,MCT-PLS13 ,3,1,2016,2,1,2016,14,24,5,1,1,0,0,3,1,1,3,4
381,13015,ESTATICA,IND-PLS13 ,3,1,2016,2,0,0,5,2,2,0,0,0,0,0,0,0,0,4
381,13015,ESTATICA,IND-PLS13 ,3,1,2017,2,0,0,4,8,2,0,0,0,0,0,0,0,0,4
381,13015,ESTATICA,IND-PLS13 ,3,1,2018,1,0,0,2,0,1,0,0,0,0,0,0,0,0,4
381,13015,ESTATICA,IND-PLS13 ,3,1,2019,1,0,0,11,16,2,1,1,25,0,0,0,0,0,4
